电影时间：2004 ,电影评分：8.8 ,电影评论：526969人评价 ,电影名称：幸福终点站     
电影时间：2010 ,电影评分：8.8 ,电影评论：708822人评价 ,电影名称：驯龙高手      
电影时间：2011 ,电影评分：8.9 ,电影评论：495389人评价 ,电影名称：萤火之森      
电影时间：1990 ,电影评分：9.0 ,电影评论：343755人评价 ,电影名称：教父3       
电影时间：2001 ,电影评分：8.8 ,电影评论：621515人评价 ,电影名称：怪兽电力公司    
电影时间：2019 ,电影评分：8.8 ,电影评论：1282540人评价,电影名称：寄生虫       
电影时间：2015 ,电影评分：8.9 ,电影评论：428647人评价 ,电影名称：一个叫欧维的男人决定去死
电影时间：2009 ,电影评分：8.9 ,电影评论：403677人评价 ,电影名称：玛丽和马克思    
电影时间：2010 ,电影评分：8.9 ,电影评论：477848人评价 ,电影名称：玩具总动员3    
电影时间：1997 ,电影评分：9.1 ,电影评论：298380人评价 ,电影名称：未麻的部屋     
电影时间：2005 ,电影评分：8.7 ,电影评论：738607人评价 ,电影名称：傲慢与偏见     
电影时间：2010 ,电影评分：8.6 ,电影评论：892863人评价 ,电影名称：神偷奶爸      
电影时间：2003 ,电影评分：8.8 ,电影评论：536104人评价 ,电影名称：大鱼        
电影时间：2016 ,电影评分：8.6 ,电影评论：1116867人评价,电影名称：釜山行       
电影时间：2010 ,电影评分：8.8 ,电影评论：637489人评价 ,电影名称：告白        
电影时间：2012 ,电影评分：8.8 ,电影评论：568008人评价 ,电影名称：被解救的姜戈    
电影时间：2005 ,电影评分：8.7 ,电影评论：594598人评价 ,电影名称：哈利·波特与火焰杯 
电影时间：2011 ,电影评分：8.8 ,电影评论：565051人评价 ,电影名称：阳光姐妹淘     
电影时间：1993 ,电影评分：8.7 ,电影评论：594726人评价 ,电影名称：射雕英雄传之东成西就
电影时间：1979 ,电影评分：9.1 ,电影评论：239563人评价 ,电影名称：哪吒闹海      
电影时间：2001 ,电影评分：9.0 ,电影评论：314902人评价 ,电影名称：我是山姆      
电影时间：2013 ,电影评分：8.9 ,电影评论：379390人评价 ,电影名称：新世界       
电影时间：2013 ,电影评分：8.7 ,电影评论：610171人评价 ,电影名称：恐怖直播      
电影时间：2018 ,电影评分：8.7 ,电影评论：1280840人评价,电影名称：头号玩家      
电影时间：2016 ,电影评分：8.7 ,电影评论：740234人评价 ,电影名称：血战钢锯岭     
电影时间：2014 ,电影评分：8.8 ,电影评论：601284人评价 ,电影名称：模仿游戏      
电影时间：1993 ,电影评分：9.0 ,电影评论：329533人评价 ,电影名称：喜宴        
电影时间：1954 ,电影评分：9.3 ,电影评论：182698人评价 ,电影名称：七武士       
电影时间：2000 ,电影评分：8.7 ,电影评论：556483人评价 ,电影名称：花样年华      
电影时间：2015 ,电影评分：8.8 ,电影评论：565958人评价 ,电影名称：头脑特工队     
电影时间：2003 ,电影评分：8.8 ,电影评论：420110人评价 ,电影名称：黑客帝国3：矩阵革命
电影时间：1994 ,电影评分：8.7 ,电影评论：613490人评价 ,电影名称：九品芝麻官     
电影时间：2004 ,电影评分：8.8 ,电影评论：493485人评价 ,电影名称：电锯惊魂      
电影时间：2017 ,电影评分：8.7 ,电影评论：772546人评价 ,电影名称：三块广告牌     
电影时间：2016 ,电影评分：8.5 ,电影评论：1298521人评价,电影名称：你的名字。     
电影时间：2013 ,电影评分：8.8 ,电影评论：425533人评价 ,电影名称：达拉斯买家俱乐部  
电影时间：2004 ,电影评分：8.9 ,电影评论：305673人评价 ,电影名称：卢旺达饭店     
电影时间：1960 ,电影评分：9.0 ,电影评论：262025人评价 ,电影名称：惊魂记       
电影时间：2013 ,电影评分：8.7 ,电影评论：791229人评价 ,电影名称：疯狂原始人     
电影时间：2002 ,电影评分：9.0 ,电影评论：284523人评价 ,电影名称：上帝之城      
电影时间：2007 ,电影评分：8.8 ,电影评论：393431人评价 ,电影名称：谍影重重3     
电影时间：2014 ,电影评分：8.7 ,电影评论：480411人评价 ,电影名称：心迷宫       
电影时间：1986 ,电影评分：8.6 ,电影评论：497730人评价 ,电影名称：英雄本色      
电影时间：1984 ,电影评分：8.9 ,电影评论：336466人评价 ,电影名称：风之谷       
电影时间：1991 ,电影评分：8.8 ,电影评论：392817人评价 ,电影名称：纵横四海      
电影时间：2015 ,电影评分：8.8 ,电影评论：414228人评价 ,电影名称：海街日记      
电影时间：2007 ,电影评分：8.6 ,电影评论：713614人评价 ,电影名称：色，戒       
电影时间：2010 ,电影评分：8.7 ,电影评论：550178人评价 ,电影名称：岁月神偷      
电影时间：2000 ,电影评分：8.7 ,电影评论：567125人评价 ,电影名称：记忆碎片      
电影时间：2013 ,电影评分：8.9 ,电影评论：363435人评价 ,电影名称：爱在午夜降临前   
电影时间：1987 ,电影评分：9.2 ,电影评论：180502人评价 ,电影名称：忠犬八公物语    
电影时间：1999 ,电影评分：8.9 ,电影评论：299966人评价 ,电影名称：绿里奇迹      
电影时间：2014 ,电影评分：8.8 ,电影评论：413047人评价 ,电影名称：荒蛮故事      
电影时间：1982(中国大陆),电影评分：9.5 ,电影评论：115008人评价 ,电影名称：茶馆        
电影时间：2014 ,电影评分：8.7 ,电影评论：543073人评价 ,电影名称：爆裂鼓手      
电影时间：2018 ,电影评分：8.7 ,电影评论：769762人评价 ,电影名称：小偷家族      
电影时间：2008 ,电影评分：8.6 ,电影评论：706438人评价 ,电影名称：贫民窟的百万富翁  
电影时间：2012 ,电影评分：8.7 ,电影评论：500849人评价 ,电影名称：无敌破坏王     
电影时间：2006 ,电影评分：8.5 ,电影评论：763008人评价 ,电影名称：疯狂的石头     
电影时间：1994 ,电影评分：8.6 ,电影评论：542924人评价 ,电影名称：东邪西毒      
电影时间：2003 ,电影评分：8.6 ,电影评论：683783人评价 ,电影名称：真爱至上      
电影时间：1952 ,电影评分：9.1 ,电影评论：203504人评价 ,电影名称：雨中曲       
电影时间：2002 ,电影评分：8.6 ,电影评论：575780人评价 ,电影名称：冰川时代      
电影时间：2009 ,电影评分：8.5 ,电影评论：788881人评价 ,电影名称：恐怖游轮      
电影时间：2010 ,电影评分：8.9 ,电影评论：313057人评价 ,电影名称：你看起来好像很好吃 
电影时间：2010 ,电影评分：8.6 ,电影评论：746117人评价 ,电影名称：黑天鹅       
电影时间：1968 ,电影评分：8.9 ,电影评论：292404人评价 ,电影名称：2001太空漫游  
电影时间：1989 ,电影评分：8.7 ,电影评论：427628人评价 ,电影名称：魔女宅急便     
电影时间：2003 ,电影评分：8.7 ,电影评论：431535人评价 ,电影名称：无间道2      
电影时间：2007 ,电影评分：8.7 ,电影评论：413798人评价 ,电影名称：遗愿清单      
电影时间：1988 ,电影评分：8.7 ,电影评论：380697人评价 ,电影名称：雨人        
电影时间：1991 ,电影评分：8.9 ,电影评论：267960人评价 ,电影名称：牯岭街少年杀人事件 
电影时间：2004 ,电影评分：8.6 ,电影评论：626383人评价 ,电影名称：恋恋笔记本     
电影时间：1994 ,电影评分：9.5 ,电影评论：111232人评价 ,电影名称：背靠背，脸对脸   
电影时间：2017 ,电影评分：8.7 ,电影评论：413878人评价 ,电影名称：大佛普拉斯     
电影时间：2019 ,电影评分：8.7 ,电影评论：940304人评价 ,电影名称：小丑        
电影时间：2004 ,电影评分：8.9 ,电影评论：282323人评价 ,电影名称：可可西里      
电影时间：1931 ,电影评分：9.3 ,电影评论：133467人评价 ,电影名称：城市之光      
电影时间：2003 ,电影评分：9.0 ,电影评论：198777人评价 ,电影名称：东京教父      
电影时间：2011 ,电影评分：8.5 ,电影评论：786276人评价 ,电影名称：源代码       
电影时间：1988 ,电影评分：8.7 ,电影评论：386558人评价 ,电影名称：萤火虫之墓     
电影时间：1966 ,电影评分：8.9 ,电影评论：236560人评价 ,电影名称：虎口脱险      
电影时间：2010 ,电影评分：8.5 ,电影评论：935227人评价 ,电影名称：初恋这件小事    
电影时间：2001 ,电影评分：8.7 ,电影评论：415221人评价 ,电影名称：人工智能      
电影时间：2016 ,电影评分：8.6 ,电影评论：476119人评价 ,电影名称：海边的曼彻斯特   
电影时间：1950 ,电影评分：8.8 ,电影评论：292377人评价 ,电影名称：罗生门       
电影时间：1993 ,电影评分：8.6 ,电影评论：488845人评价 ,电影名称：青蛇        
电影时间：1991 ,电影评分：8.8 ,电影评论：319613人评价 ,电影名称：终结者2：审判日  
电影时间：2018 ,电影评分：8.6 ,电影评论：559855人评价 ,电影名称：波西米亚狂想曲   
电影时间：2020 ,电影评分：8.7 ,电影评论：893719人评价 ,电影名称：心灵奇旅      
电影时间：2017 ,电影评分：8.6 ,电影评论：524072人评价 ,电影名称：奇迹男孩      
电影时间：2015 ,电影评分：8.7 ,电影评论：491663人评价 ,电影名称：疯狂的麦克斯4：狂暴之路
电影时间：1992 ,电影评分：8.7 ,电影评论：413514人评价 ,电影名称：新龙门客栈     
电影时间：2015 ,电影评分：8.7 ,电影评论：278408人评价 ,电影名称：二十二       
电影时间：2015 ,电影评分：8.8 ,电影评论：352359人评价 ,电影名称：房间        
电影时间：2009 ,电影评分：8.6 ,电影评论：442525人评价 ,电影名称：无耻混蛋      
电影时间：1997 ,电影评分：8.8 ,电影评论：269140人评价 ,电影名称：千钧一发      
电影时间：2006 ,电影评分：8.7 ,电影评论：354313人评价 ,电影名称：血钻        
电影时间：2013 ,电影评分：8.5 ,电影评论：525474人评价 ,电影名称：彗星来的那一夜   
电影时间：2008 ,电影评分：8.6 ,电影评论：451142人评价 ,电影名称：崖上的波妞     
电影时间：2003 ,电影评分：8.7 ,电影评论：380488人评价 ,电影名称：黑客帝国2：重装上阵
电影时间：2008 ,电影评分：8.8 ,电影评论：259632人评价 ,电影名称：步履不停      
电影时间：1940 ,电影评分：8.8 ,电影评论：259635人评价 ,电影名称：魂断蓝桥      
电影时间：2005 ,电影评分：8.7 ,电影评论：341099人评价 ,电影名称：战争之王      
电影时间：2016 ,电影评分：8.4 ,电影评论：819246人评价 ,电影名称：爱乐之城      
电影时间：2004 ,电影评分：8.7 ,电影评论：330108人评价 ,电影名称：谍影重重2     
电影时间：1991 ,电影评分：8.9 ,电影评论：222168人评价 ,电影名称：末路狂花      
电影时间：1994 ,电影评分：8.8 ,电影评论：270263人评价 ,电影名称：燃情岁月      
电影时间：2015 ,电影评分：8.5 ,电影评论：670178人评价 ,电影名称：火星救援      
电影时间：1990 ,电影评分：8.5 ,电影评论：473945人评价 ,电影名称：阿飞正传      
电影时间：2001 ,电影评分：8.8 ,电影评论：238951人评价 ,电影名称：千年女优      
电影时间：2013 ,电影评分：8.6 ,电影评论：402125人评价 ,电影名称：再次出发之纽约遇见你
电影时间：2002 ,电影评分：8.6 ,电影评论：397441人评价 ,电影名称：谍影重重      
电影时间：2009 ,电影评分：9.1 ,电影评论：151350人评价 ,电影名称：海洋        
电影时间：2008 ,电影评分：8.6 ,电影评论：433424人评价 ,电影名称：朗读者       
电影时间：2006 ,电影评分：8.5 ,电影评论：516358人评价 ,电影名称：香水        
电影时间：2006 ,电影评分：8.6 ,电影评论：361055人评价 ,电影名称：穿越时空的少女   
电影时间：2007 ,电影评分：8.9 ,电影评论：192897人评价 ,电影名称：地球上的星星    
电影时间：2011 ,电影评分：9.0 ,电影评论：155532人评价 ,电影名称：我爱你       
电影时间：2021 ,电影评分：8.6 ,电影评论：494753人评价 ,电影名称：花束般的恋爱    
电影时间：2016 ,电影评分：8.5 ,电影评论：497555人评价 ,电影名称：完美陌生人     
电影时间：2009 ,电影评分：8.7 ,电影评论：273301人评价 ,电影名称：弱点        
电影时间：2010 ,电影评分：8.5 ,电影评论：513708人评价 ,电影名称：哈利·波特与死亡圣器(上)
电影时间：1994 ,电影评分：9.7 ,电影评论：2709533人评价,电影名称：肖申克的救赎    
电影时间：1993 ,电影评分：9.6 ,电影评论：2008435人评价,电影名称：霸王别姬      
电影时间：1994 ,电影评分：9.5 ,电影评论：2033471人评价,电影名称：阿甘正传      
电影时间：1997 ,电影评分：9.4 ,电影评论：1993064人评价,电影名称：泰坦尼克号     
电影时间：1994 ,电影评分：9.4 ,电影评论：2175774人评价,电影名称：这个杀手不太冷   
电影时间：1997 ,电影评分：9.6 ,电影评论：1248424人评价,电影名称：美丽人生      
电影时间：2001 ,电影评分：9.4 ,电影评论：2109715人评价,电影名称：千与千寻      
电影时间：1993 ,电影评分：9.6 ,电影评论：1041769人评价,电影名称：辛德勒的名单    
电影时间：2010 ,电影评分：9.4 ,电影评论：1945183人评价,电影名称：盗梦空间      
电影时间：2014 ,电影评分：9.4 ,电影评论：1658687人评价,电影名称：星际穿越      
电影时间：2009 ,电影评分：9.4 ,电影评论：1326683人评价,电影名称：忠犬八公的故事   
电影时间：1998 ,电影评分：9.3 ,电影评论：1569629人评价,电影名称：楚门的世界     
电影时间：1998 ,电影评分：9.3 ,电影评论：1584552人评价,电影名称：海上钢琴师     
电影时间：2009 ,电影评分：9.2 ,电影评论：1761060人评价,电影名称：三傻大闹宝莱坞   
电影时间：2008 ,电影评分：9.3 ,电影评论：1245081人评价,电影名称：机器人总动员    
电影时间：2004 ,电影评分：9.3 ,电影评论：1227854人评价,电影名称：放牛班的春天    
电影时间：2002 ,电影评分：9.3 ,电影评论：1264043人评价,电影名称：无间道       
电影时间：2016 ,电影评分：9.2 ,电影评论：1791729人评价,电影名称：疯狂动物城     
电影时间：1995 ,电影评分：9.2 ,电影评论：1445760人评价,电影名称：大话西游之大圣娶亲 
电影时间：2011 ,电影评分：9.3 ,电影评论：880024人评价 ,电影名称：熔炉        
电影时间：1957 ,电影评分：9.6 ,电影评论：494267人评价 ,电影名称：控方证人      
电影时间：1972 ,电影评分：9.3 ,电影评论：902103人评价 ,电影名称：教父        
电影时间：2006 ,电影评分：9.2 ,电影评论：1435530人评价,电影名称：当幸福来敲门    
电影时间：2011 ,电影评分：9.3 ,电影评论：1022926人评价,电影名称：触不可及      
电影时间：2010 ,电影评分：9.1 ,电影评论：1725480人评价,电影名称：怦然心动      
电影时间：1988 ,电影评分：9.2 ,电影评论：1192106人评价,电影名称：龙猫        
电影时间：1987 ,电影评分：9.3 ,电影评论：812563人评价 ,电影名称：末代皇帝      
电影时间：2017 ,电影评分：9.1 ,电影评论：1549128人评价,电影名称：寻梦环游记     
电影时间：2008 ,电影评分：9.2 ,电影评论：995197人评价 ,电影名称：蝙蝠侠：黑暗骑士  
电影时间：1994 ,电影评分：9.3 ,电影评论：782848人评价 ,电影名称：活着        
电影时间：2001 ,电影评分：9.2 ,电影评论：1093997人评价,电影名称：哈利·波特与魔法石 
电影时间：2003 ,电影评分：9.3 ,电影评论：754014人评价 ,电影名称：指环王3：王者无敌 
电影时间：1939 ,电影评分：9.3 ,电影评论：648920人评价 ,电影名称：乱世佳人      
电影时间：2013 ,电影评分：9.3 ,电影评论：641823人评价 ,电影名称：素媛        
电影时间：2009 ,电影评分：9.1 ,电影评论：1247499人评价,电影名称：飞屋环游记     
电影时间：2018 ,电影评分：9.0 ,电影评论：1976870人评价,电影名称：我不是药神     
电影时间：2016 ,电影评分：9.0 ,电影评论：1482110人评价,电影名称：摔跤吧！爸爸    
电影时间：2018 ,电影评分：9.1 ,电影评论：978142人评价 ,电影名称：何以为家      
电影时间：1957 ,电影评分：9.4 ,电影评论：452542人评价 ,电影名称：十二怒汉      
电影时间：2004 ,电影评分：9.1 ,电影评论：950695人评价 ,电影名称：哈尔的移动城堡   
电影时间：2012 ,电影评分：9.1 ,电影评论：1279524人评价,电影名称：少年派的奇幻漂流  
电影时间：2000 ,电影评分：9.3 ,电影评论：585958人评价 ,电影名称：鬼子来了      
电影时间：2002 ,电影评分：9.1 ,电影评论：934185人评价 ,电影名称：猫鼠游戏      
电影时间：1995 ,电影评分：9.0 ,电影评论：1151998人评价,电影名称：大话西游之月光宝盒 
